CustomerName	month	metercategory	pretaxcost
[CustomerName]-D226A04D	9/1/2024	Application Gateway	70360.17738
[CustomerName]-0DE7667B	11/1/2024	Redis Cache	81.504
[CustomerName]-D70A78C9	1/1/2024	SQL Database	3857.263982
[CustomerName]-D226A04D	11/1/2023	GitHub	5203.626826
[CustomerName]-17C145B4	1/1/2024	Key Vault	0.9525956
[CustomerName]-01FE71E8	6/1/2024	App Configuration	0
[CustomerName]-0DE7667B	10/1/2024	VPN Gateway	132.2832
[CustomerName]-50729A6B	1/1/2024	Cognitive Services	22.8366
[CustomerName]-E12862E5	2/1/2024	Storage	1586.924644
[CustomerName]-01FE71E8	7/1/2024	Storage	18843.67242
[CustomerName]-CBA66E32	6/1/2024	App Configuration	33.2901794
[CustomerName]-DCB49AE5	7/1/2024	Log Analytics	8.669874121
[CustomerName]-01FE71E8	3/1/2024	VPN Gateway	130.3097345
[CustomerName]-FA630340	5/1/2024	Network Watcher	2.806881073
[CustomerName]-E5C3446F	11/1/2024	Cognitive Services	0
[CustomerName]-D1E775A0	8/1/2024	API Management	45.26226146
[CustomerName]-D226A04D	7/1/2024	Azure Arc	0
[CustomerName]-26E1FEA2	5/1/2024	Container Registry	19.3490312
[CustomerName]-D226A04D	2/1/2024	Insight and Analytics	440.4017177
[CustomerName]-D226A04D	3/1/2024	Azure Cognitive Search	177653.7599
[CustomerName]-26E1FEA2	6/1/2024	Azure Cosmos DB	641.5522787
[CustomerName]-D226A04D	1/1/2024	Virtual Network	40792.73557
[CustomerName]-E5C3446F	9/1/2024	Azure Grafana Service	73.692
[CustomerName]-D1E775A0	9/1/2024	Storage	481.2216795
[CustomerName]-E5C3446F	3/1/2024	Azure DNS	7.73108062
[CustomerName]-D70A78C9	12/1/2023	Logic Apps	48.3303823
[CustomerName]-CBA66E32	2/1/2024	Content Delivery Network	0.674194597
[CustomerName]-D226A04D	7/1/2024	Virtual Machine Licenses	2868.944024
[CustomerName]-DCB49AE5	6/1/2024	Azure Bastion	0
[CustomerName]-26E1FEA2	10/1/2024	Azure Applied AI Services	0
[CustomerName]-53475226	2/1/2024	Key Vault	0.53597378
[CustomerName]-02D80417	6/1/2024	Service Bus	0
[CustomerName]-CBA66E32	3/1/2024	Event Grid	139.6218534
[CustomerName]-D70A78C9	11/1/2023	Cognitive Services	26.3356589
[CustomerName]-FA630340	5/1/2024	Azure Bastion	238.247191
[CustomerName]-02D80417	2/1/2024	Azure Monitor	0
[CustomerName]-50729A6B	9/1/2024	Virtual Machines	22767.08226
[CustomerName]-01FE71E8	8/1/2024	Azure Cognitive Search	69.47485207
[CustomerName]-9A49C9D4	11/1/2024	Virtual Machines Licenses	55.872
[CustomerName]-D226A04D	12/1/2023	Azure Arc Enabled Databases	0
[CustomerName]-E5C3446F	12/1/2023	SQL Managed Instance	3716.5056
[CustomerName]-01FE71E8	11/1/2024	SQL Managed Instance	3058.92875
[CustomerName]-A6B2FA46	11/1/2024	Azure Monitor	1.11E-03
[CustomerName]-725D082E	3/1/2024	Service Bus	53.74879499
[CustomerName]-53475226	5/1/2024	Azure Bastion	132.4686417
[CustomerName]-D226A04D	8/1/2024	Azure Databricks	2727.331428
[CustomerName]-26E1FEA2	1/1/2024	Azure Cognitive Search	1688.990545
[CustomerName]-D70A78C9	6/1/2024	ExpressRoute	280.6983513
[CustomerName]-D70A78C9	4/1/2024	Key Vault	30.68611406
[CustomerName]-50729A6B	2/1/2024	Azure Firewall	3465.230236
[CustomerName]-50729A6B	2/1/2024	App Configuration	75.168
[CustomerName]-A21812C1	2/1/2024	API Management	84.82066954
[CustomerName]-0DE7667B	9/1/2024	Storage	3466.689523
[CustomerName]-E5C3446F	3/1/2024	Functions	0
[CustomerName]-FA630340	11/1/2023	Data Lake Analytics	680.6872105
[CustomerName]-DCB49AE5	10/1/2024	Key Vault	3.35E-02
[CustomerName]-01FE71E8	1/1/2024	Cognitive Services	2967.310257
[CustomerName]-725D082E	2/1/2024	Azure DNS	341.4047963
[CustomerName]-D226A04D	3/1/2024	Azure Container Apps	4656.997651
[CustomerName]-FA630340	8/1/2024	Azure Site Recovery	187.2226331
[CustomerName]-01FE71E8	1/1/2024	Bandwidth	2782.579595
[CustomerName]-D226A04D	8/1/2024	Virtual WAN	58403.85868
[CustomerName]-0DE7667B	8/1/2024	Logic Apps	8273.897892
[CustomerName]-50729A6B	11/1/2024	SQL Managed Instance	3337.924912
[CustomerName]-CBA66E32	1/1/2024	App Configuration	33.49842413
[CustomerName]-9A49C9D4	5/1/2024	Load Balancer	31.45582011
[CustomerName]-D70A78C9	1/1/2024	Sentinel	3364.43
[CustomerName]-01FE71E8	5/1/2024	Cognitive Services	2973.530886
[CustomerName]-D226A04D	9/1/2024	Visual Studio Subscription	196181.2362
[CustomerName]-50729A6B	8/1/2024	SQL Database	3397.037626
[CustomerName]-9A49C9D4	9/1/2024	Azure Arc Enabled Databases	0
[CustomerName]-D226A04D	1/1/2024	Event Hubs	958.1105787
[CustomerName]-DCB49AE5	5/1/2024	Load Balancer	0
[CustomerName]-D70A78C9	5/1/2024	Logic Apps	0.434195067
