customername	Metercategory	Costcategory	Cost
[customername]-AACCBEA3	Azure Bastion	Cost	926.25000000000011
[customername]-AACCBEA3	Azure Cognitive Search	Cost	1321.1700000000001
[customername]-AACCBEA3	Azure DevOps	Cost	963.47000000000071
[customername]-AACCBEA3	Azure Firewall	Cost	747.34999999999991
[customername]-AACCBEA3	Data Lake Store	Cost	802.38000000000034
[customername]-AACCBEA3	Functions	Cost	627.49999999999932
[customername]-AACCBEA3	Log Analytics	Cost	2758.0524743630913
[customername]-AACCBEA3	Other	Cost	3086.894529972245
[customername]-AACCBEA3	Security Center	Cost	1013.3599999999988
[customername]-AACCBEA3	Storage	Cost	7108.6241352944135
[customername]-AACCBEA3	Virtual Machines	Cost	8655.8299999999654
[customername]-AACCBEA3	Virtual Network	Cost	604.32149789914422
[customername]-AACCBEA3	Azure Analysis Services	Cost	584.21000000000004
[customername]-AACCBEA3	Azure App Service	Cost	4290.5725806451474
[customername]-AACCBEA3	Azure Data Factory v2	Cost	1272.8099999999977
[customername]-AACCBEA3	Azure Database for PostgreSQL	Cost	1654.578958947
[customername]-AACCBEA3	Azure Synapse Analytics	Cost	9764.4946350260016
[customername]-AACCBEA3	SQL Database	Cost	2725.180965762183
[customername]-AACCBEA3	VPN Gateway	Cost	1104.9372936878106
[customername]-AACCBEA3	Azure Analysis Services	Cost after optimization	584.21000000000004
[customername]-AACCBEA3	Azure App Service	Cost after optimization	4290.5725806451483
[customername]-AACCBEA3	Azure Data Factory v2	Cost after optimization	1272.8099999999979
[customername]-AACCBEA3	Azure Database for PostgreSQL	Cost after optimization	1654.5789589469982
[customername]-AACCBEA3	Azure Synapse Analytics	Cost after optimization	9764.4946350260052
[customername]-AACCBEA3	SQL Database	Cost after optimization	2725.1809657621816
[customername]-AACCBEA3	VPN Gateway	Cost after optimization	1104.9372936878103
[customername]-AACCBEA3	Azure Bastion	Cost after optimization	926.24999999999955
[customername]-AACCBEA3	Azure Cognitive Search	Cost after optimization	1321.1700000000001
[customername]-AACCBEA3	Azure DevOps	Cost after optimization	963.47000000000014
[customername]-AACCBEA3	Azure Firewall	Cost after optimization	747.34999999999991
[customername]-AACCBEA3	Data Lake Store	Cost after optimization	802.38000000000034
[customername]-AACCBEA3	Functions	Cost after optimization	627.49999999999955
[customername]-AACCBEA3	Log Analytics	Cost after optimization	2758.0524743630922
[customername]-AACCBEA3	Other	Cost after optimization	3086.894529972245
[customername]-AACCBEA3	Security Center	Cost after optimization	1013.3599999999988
[customername]-AACCBEA3	Storage	Cost after optimization	7108.6241352943962
[customername]-AACCBEA3	Virtual Machines	Cost after optimization	6248.8299999999763
[customername]-AACCBEA3	Virtual Network	Cost after optimization	604.32149789914388
[customername]-ADD982FB	API Management	Cost	54891.114798332805
[customername]-ADD982FB	Application Gateway	Cost	66085.947265690324
[customername]-ADD982FB	Azure App Service	Cost	122733.88245524935
[customername]-ADD982FB	Azure Firewall	Cost	101278.78227389048
[customername]-ADD982FB	Azure Monitor	Cost	668685.05491017154
[customername]-ADD982FB	Azure NetApp Files	Cost	105759.55539589125
[customername]-ADD982FB	Backup	Cost	377519.22951009916
[customername]-ADD982FB	Log Analytics	Cost	149533.04824742681
[customername]-ADD982FB	Other	Cost	446671.43860302167
[customername]-ADD982FB	Security Center	Cost	64931.655810957265
[customername]-ADD982FB	Sentinel	Cost	230728.11561972773
[customername]-ADD982FB	SQL Database	Cost	187359.21845757816
[customername]-ADD982FB	SQL Managed Instance	Cost	55472.828078642866
[customername]-ADD982FB	Storage	Cost	1005564.3185959607
[customername]-ADD982FB	Unassigned	Cost	165129.01875793986
[customername]-ADD982FB	Virtual Machines	Cost	1056208.7980088794
[customername]-ADD982FB	Virtual Machines Licenses	Cost	58029.866791430672
[customername]-ADD982FB	Virtual Network	Cost	80259.088188918831
[customername]-ADD982FB	API Management	Cost after optimization	54891.114798332797
[customername]-ADD982FB	Application Gateway	Cost after optimization	66085.947265690382
[customername]-ADD982FB	Azure App Service	Cost after optimization	100492.88245524926
[customername]-ADD982FB	Azure Firewall	Cost after optimization	101278.78227389097
[customername]-ADD982FB	Azure Monitor	Cost after optimization	668685.05490992765
[customername]-ADD982FB	Azure NetApp Files	Cost after optimization	105759.55539589134
[customername]-ADD982FB	Backup	Cost after optimization	119165.81357790119
[customername]-ADD982FB	Log Analytics	Cost after optimization	149533.04824742669
[customername]-ADD982FB	Other	Cost after optimization	446671.43860302161
[customername]-ADD982FB	Security Center	Cost after optimization	64931.655810957251
[customername]-ADD982FB	Sentinel	Cost after optimization	230728.11561972776
[customername]-ADD982FB	SQL Database	Cost after optimization	187359.21845757775
[customername]-ADD982FB	SQL Managed Instance	Cost after optimization	45925.82807864291
[customername]-ADD982FB	Storage	Cost after optimization	996728.31859601953
[customername]-ADD982FB	Unassigned	Cost after optimization	165129.01875794071
[customername]-ADD982FB	Virtual Machines	Cost after optimization	740584.44027439121
[customername]-ADD982FB	Virtual Machines Licenses	Cost after optimization	58029.86679143041
[customername]-ADD982FB	Virtual Network	Cost after optimization	80259.088188925627
[customername]-202DE5A4	Application Gateway	Cost	94.54671518955999
[customername]-202DE5A4	Azure App Service	Cost	66.996889999999979
[customername]-202DE5A4	Azure Bastion	Cost	127.29405860000008
[customername]-202DE5A4	Azure Firewall	Cost	842.23244460000012
[customername]-202DE5A4	Log Analytics	Cost	165.61904599080006
[customername]-202DE5A4	Microsoft Defender for Cloud	Cost	175.90571933500198
[customername]-202DE5A4	Other	Cost	86.609082806663707
[customername]-202DE5A4	SaaS	Cost	103
[customername]-202DE5A4	Storage	Cost	491.31781803785213
[customername]-202DE5A4	Virtual Machines	Cost	1022.3113540000022
[customername]-202DE5A4	Virtual Network	Cost	33.571369153009364
[customername]-202DE5A4	Application Gateway	Cost after optimization	94.54671518955999
[customername]-202DE5A4	Azure App Service	Cost after optimization	66.996889999999979
[customername]-202DE5A4	Azure Bastion	Cost after optimization	127.29405860000008
[customername]-202DE5A4	Azure Firewall	Cost after optimization	842.23244460000012
[customername]-202DE5A4	Log Analytics	Cost after optimization	165.61904599080006
[customername]-202DE5A4	Microsoft Defender for Cloud	Cost after optimization	175.90571933500198
[customername]-202DE5A4	Other	Cost after optimization	86.609082806663707
[customername]-202DE5A4	SaaS	Cost after optimization	103
[customername]-202DE5A4	Storage	Cost after optimization	491.31781803785213
[customername]-202DE5A4	Virtual Machines	Cost after optimization	1022.3113540000022
[customername]-202DE5A4	Virtual Network	Cost after optimization	33.571369153009364
[customername]-66FBEF6B	App Center	Cost	619.1138199999989
[customername]-66FBEF6B	Automation	Cost	604.69637048899983
[customername]-66FBEF6B	Azure App Service	Cost	1066.1862900000001
[customername]-66FBEF6B	Azure Data Factory v2	Cost	2766.934676040943
[customername]-66FBEF6B	Azure Purview	Cost	782.49813703099983
[customername]-66FBEF6B	Log Analytics	Cost	1189.5556405000605
[customername]-66FBEF6B	Logic Apps	Cost	636.34887341565513
[customername]-66FBEF6B	Microsoft Fabric	Cost	1763.7815000000003
[customername]-66FBEF6B	Other	Cost	1654.713700017868
[customername]-66FBEF6B	SQL Database	Cost	26934.621606310498
[customername]-66FBEF6B	Storage	Cost	4664.9720217807871
[customername]-66FBEF6B	Virtual Machines	Cost	13298.380649600693
[customername]-66FBEF6B	Virtual Machines Licenses	Cost	1488.8891743999991
[customername]-66FBEF6B	Virtual Network	Cost	1301.6495011214799
[customername]-66FBEF6B	VPN Gateway	Cost	875.80326000000014
